82,базилик фиолетовый,г
83,баклажаны,по вкусу
84,баклажаны мини,г
85,баклажаны тайские,г
86,балык,г
87,бальзам,г
88,бальзамический крем,стакан
89,бальзамический соус,ст. л.
90,бальзамический уксус,стакан
91,бальзам рижский черный,ст. л.
92,бамия,г
93,банановое пюре,г
94,банановые чипсы,горсть
95,банановый зеленый сироп,мл
96,банановый ликер,мл
97,бананы,г
98,бананы мини,г
99,барабулька,г
100,бараний ливер,г
101,бараний окорок на косточке,кусок
102,бараний фарш,г
103,баранина,г
104,баранки,г
105,бараньи антрекоты,кг
106,бараньи голяшки,шт.
107,бараньи потроха,кг
108,бараньи ребрышки,шт.
109,баранья лопатка,кг
110,баранья нога,г
111,баранья печень,г
112,барбарис,г
113,барбарис вяленый,ст. л.
114,барбарис молотый,г
115,бастурма,г
116,батат,г
117,батон,г
118,батончики шоколадные,г
119,безе,г
120,бекон,по вкусу
121,бекон варено-копченый,г
122,бекон сырокопченый,г
123,белорыбица,г
124,бирнель,мл
125,бисквик смесь готовая,пакет
126,бисквит,г
127,бисквитная крошка,г
128,бисквитный корж,г
129,бисквитный рулет,г
130,бисквит шоколадный,г
131,бифштекс,шт.
132,блинная мука,г
133,блины готовые,г
134,блины овсяные,шт.
135,бобовые ростки,г
136,бобы,г
137,бобы мунг пророщенные,г
138,бобы тонка,шт.
139,ботарга,г
140,брезаола,г
141,бренди,г
142,брокколи замороженная,г
143,брокколи свежая,г
144,брусника замороженная,г
145,брусника свежая,г
146,брусника сушеная,г
147,брусничное варенье,г
148,брусничный соус,г
149,брынза,по вкусу
150,брынза сербская,г
151,брюква,г
152,буженина,г
153,бузина сироп,ст. л.
154,букет гарни,пучок
155,булгур,г
156,булка,кусок
157,булка белая,г
158,булка сдобная,г
159,булочки,г
160,булочки белые черствые,г
161,булочки бриошь,шт.
162,булочки вчерашние,шт.
163,булочки для гамбургеров,шт.
164,булочки зерновые,шт.
165,булочки ржаные,кусок
166,булочки с кунжутом,шт.
167,бульон,г
168,бульонные кубики,г
169,бурбон,г
170,Буррата,г
171,буряк,г
172,бусинки кондитерские,ч. л.
173,бусинки кондитерские серебряные,по вкусу
174,бычий хвост,г
175,ванилин,г
176,ваниль в стручках,г
177,ванильная настойка,ст. л.
178,ванильная эссенция,г
179,ванильный порошок,г
180,ванильный сироп,г
181,ванильный экстракт,по вкусу
182,варенье,г
183,васаби,г
184,вафельная крошка,г
185,вафельные коржи,г
186,вафельные трубочки,г
187,вафли,г
188,вафли шоколадные,г
189,вермишель,г
190,вермишель яичная,г
191,вермут,г
192,вермут белый,г
193,вермут сухой,г
194,ветчина,г
195,ветчина вареная,г
196,ветчина варено-копченая,кусок
197,ветчина копченая,г
198,ветчина пармская,г
199,ветчина сырокопченая,г
200,вешенки,г
201,винегрет,г
202,винный камень,щепотка
203,винный уксус,г
204,винный уксус белый,г
205,винный уксус красный,ч. л.
206,винный уксус на чесноке,ч. л.
207,винный уксус на эстрагоне,ст. л.
208,вино белое,по вкусу
209,вино белое полусладкое,г
210,вино белое полусухое,г
211,вино белое сладкое,г
212,вино белое столовое,стакан
213,вино белое сухое,г
214,виноград,г
215,виноград без косточек,г
216,виноград белый,г
217,виноград изабелла,кг
218,виноградное желе,ст. л.
219,виноградные листья,г
220,виноградные листья маринованные,г
221,виноградные листья молодые,шт.
222,виноградный сок,г
223,виноградный сок осветленный,ч. л.
224,виноград синий,г
225,виноград черный,г
226,вино десертное,г
227,вино игристое сухое,г
228,вино красное,г
229,вино красное полусладкое,г
230,вино красное полусухое,г
231,вино красное сладкое,г
232,вино красное сухое,г
233,вино крепленое,г
234,вино розовое полусладкое,ст. л.
235,вино розовое полусухое,г
236,виски,г
237,витамин C в порошке,г
238,вишневая настойка,мл
239,вишневое варенье,г
240,вишневые листья,г
241,вишневый джем,г
242,вишневый ликер,по вкусу
243,вишневый сироп,стакан
244,вишневый сок,г
245,вишня,г
246,вишня вяленая,г
247,вишня замороженная,г
248,вишня засахаренная кондитерская,шт.
249,вишня коктейльная,г
250,вишня мараскино,шт.
251,"вишня, протертая с сахаром",г
252,вода,г
253,вода минеральная без газа,стакан
254,вода минеральная газированная,г
255,водка,г
256,водка анисовая,ч. л.
257,водоросли,г
258,вустерширский соус,г
259,галангал корень,долька
260,галеты,г
261,гамбургер,г
262,ганаш,г
263,гарам масала,г
264,гарнир,г
265,гаспачо,г
266,гастропаб,
267,гвоздика,г
268,гвоздика молотая,по вкусу
269,герань листья,г
270,геркулес,г
271,глазурь,г
272,глазурь белая,г
273,глазурь готовая,по вкусу
274,глазурь черная,по вкусу
275,глазурь шоколадная белая,г
276,глутамат натрия,г
277,глюкоза,г
278,глюкоза сироп,г
279,говядина,г
280,говядина на кости,г
281,говяжий фарш,по вкусу
282,говяжий язык,г
283,говяжье сердце,по вкусу
284,говяжьи бифштексы,г
285,говяжьи голяшки,г
286,говяжьи легкие,г
287,говяжьи ребра,г
288,говяжьи стейки рибай,г
289,говяжья вырезка,шт.
290,говяжья грудинка,кг
291,говяжья лопатка,г
292,говяжья мозговая кость,шт.
293,говяжья мякоть,кг
294,говяжья печень,шт.
295,говяжья черева,г
296,говяжья шейка,кг
297,годжи,г
298,голец филе,шт.
299,голубика,г
300,голубика замороженная,г
301,голубь,г
302,горбуша,по вкусу
303,горбуша в собственном соку,банка
304,горбуша филе,г
305,горгонзола,г
306,горгонзола пиканте,г
307,горох,г
308,горох колотый,г
309,гороховые ростки,горсть
310,гороховый суп,г
311,горошек зеленый,г
312,горошек зеленый замороженный,г
313,горошек зеленый консервированный,г
314,горошек стручковый свежий,г
315,горчица,г
316,горчица дижонская,г
317,горчица дижонская с медом,г
318,горчица желтая семена,г
319,горчица острая,г
320,горчица русская,ст. л.
321,горчица семена,г
322,горчица с зернами,г
323,горчица сухая,г
324,горчица французская,г
325,горчица цитрусовая,г
326,горчичное масло,г
327,горчичный порошок,г
328,грана падано,ст. л.
329,гранатные зерна,г
330,гранатовая паста,ст. л.
331,гранатовый сироп,г
332,гранатовый сок,г
333,гранатовый сок свежевыжатый,мл
334,гранатовый соус,ч. л.
335,гранаты,г
336,гранита,г
337,гранола с орехами,г
338,граппа,ч. л.
339,гратен,кг
340,грейпфрутовая цедра,г
341,грейпфрутовый сок,г
342,грейпфруты,г
343,грейпфруты розовые,г
344,гренадин,г
345,гренки,г
346,грецкие орехи,г
347,грецкие орехи рубленые,г
348,гречневая крупа,г
349,гречневая крупа зеленая,ст. л.
350,гречневая лапша соба,г
351,гречневая мука,г
352,гречневое молоко,стакан
353,гречневые хлопья,г
354,грибы,г
355,грибы белые,г
356,грибы белые замороженные,г
357,грибы белые маринованные,г
358,грибы белые сухие,г
359,грибы замороженные,г
360,грибы замороженные (опята и маслята),г
361,грибы лесные,г
362,грибы маринованные,г
363,грибы свежие,г
364,грибы соленые,г
365,грибы соломенные консервированные,шт.
366,грибы сухие,г
367,грибы шиитаке,г
368,грибы шиитаке сухие,г
369,гриль,г
370,гриссини,г
371,грудинка,г
372,грудинка варено-копченая,г
373,грудинка копченая,по вкусу
374,грушевое пюре,г
375,грушевый ликер,мл
376,грушевый сироп,мл
377,грушевый сок,г
378,грушевый уксус,ст. л.
379,груши,по вкусу
380,груши вяленые,г
381,грюйер,г
382,гуава,шт.
383,гуанчиале,г
384,гурьевская каша,г
385,гусиная грудка копченая,г
386,гусиная печень,г
387,гусиный жир,ст. л.
388,гусь,г
389,гусь тушка,кг
390,дайкон,г
391,детское питание,г
392,джем,г
393,джин,г
394,джусай,г
395,диоксид титана,г
396,долма,г
397,дорада,шт.
398,дорада потрошеная с головой,шт.
399,дорада с головой,шт.
400,дорада тушка,шт.
401,драже,г
402,дрожжи домашние,г
403,дрожжи свежие,г
404,дрожжи сухие,по вкусу
405,дубовая кора,г
406,душица,г
407,дыня,г
408,ежевика,г
409,ежевика замороженная,г
410,ерш,г
411,ёрш-носарь,шт.
412,желатин,г
413,желатин листовой,по вкусу
414,желе,г
415,желе для торта,упаковка
416,желирующее вещество,упаковка
417,желирующий сахар,г
418,женьшень,г
419,жидкий дым,г
420,жимолость,г
421,жир,г
422,жир вытопленный,стакан
423,жир кулинарный,г
424,жир растительный,г
425,заатар,щепотка
426,завтрак сухой,г
427,завтрак сухой подушечки,г
428,загуститель для сливок,г
429,зайчатина,г
430,закваска,пакет
431,закваска вечная,г
432,заменитель сахара,по вкусу
433,заменитель сахара стевия,г
434,заправка для салатов готовая,г
435,зверобой,по вкусу
436,зелень,г
437,зелень рубленая,г
438,земляника,по вкусу
439,земляника замороженная,г
440,зефир,г
441,зира,г
442,злаковые хлопья,г
443,зубатка,г
444,зубатка филе,г
445,изолят соевого протеина,г
446,изюм,г
447,изюм без косточек,г
448,изюм белый,г
449,изюм черный,г
450,икра,г
451,икра вяленой рыбы,г
452,икра горбуши зернистая,г
453,икра красная,г
454,икра красной рыбы мелкая,г
455,икра летучей рыбы,г
456,икра лосося,г
457,икра мойвы,г
458,икра палтуса,г
459,икра судака,г
460,икра черная,г
461,имбирное варенье,г
462,имбирное печенье,по вкусу
463,имбирные цукаты,ст. л.
464,имбирь,г
465,имбирь засахаренный,г
466,имбирь корень,г
467,имбирь маринованный,г
468,имбирь молотый,г
469,индейка,г
470,индейка голень,г
471,индейка грудка,г
472,индейка копченая,г
473,индейка тушка,шт.
474,индейка фарш,г
475,индейка филе,г
476,индоутка,шт.
477,индюшачья печень,г
478,инжир,г
479,инжир свежий,г
480,инжир сушеный,г
481,ирга,г
482,ириски,г
483,итальянские травы,г
484,йогурт,г
485,йогурт греческий,г
486,йогурт жирный,г
487,йогурт козий,г
488,йогурт натуральный,г
489,йогурт нежирный,г
490,йогурт обезжиренный,г
491,йогурт фруктовый,г
492,кабачки,г
493,кабачки замороженные,г
494,кабачки молодые,г
495,каджунская смесь специй,ст. л.
496,какао,горсть
497,какао-бобы,г
498,какао-масло,г
499,какао-порошок,по вкусу
500,какао-порошок обезжиренный,г
501,какао сгущенное,банка
502,калина,по вкусу
503,калина протертая,г
504,калинджи семена,ч. л.
505,кальвадос,г
506,кальмары,г
507,кальмары вареные,г
508,кальмары замороженные,г
509,кальмары консервированные,г
510,кальмары филе,шт.
511,камамбер,упаковка
512,камбала,г
513,камбала филе,г
514,кампари,мл
515,кандурин золотой,ч. л.
516,каннеллони,г
517,капеллини,г
518,каперсы,г
519,каперсы в винном уксусе,г
520,каперсы маринованные,г
521,капуста белокочанная,г
522,капуста брюссельская,г
523,капуста брюссельская замороженная,г
524,капуста кале,г
525,капуста квашеная,по вкусу
526,капуста кольраби,г
527,капуста краснокочанная,г
528,капуста морская,по вкусу
529,капуста морская замороженная,г
530,капуста морская сушеная,г
531,капуста пекинская,г
532,капуста савойская,г
533,капуста цветная,г
534,капуста цветная замороженная,г
535,капустный рассол,г
536,капучино,г
537,каракатица,г
538,каракатица очищенная,г
539,карамбола,г
540,карамель,мл
541,карамельный соус,г
542,карамель с начинкой,г
543,карамель соленая,г
544,карась,г
545,карбонад,г
546,кардамон,г
547,кардамон зерна,ч. л.
548,кардамон молотый,г
549,кардамон стручки,шт.
550,каркаде,г
551,карп,г
552,карп зеркальный,кг
553,карп филе,кг
554,карри,г
555,карри листья,г
556,карри паста,пакет
557,картофель,г
558,картофель вареный,г
559,картофель вареный в мундире,г
560,картофель молодой,г
561,картофельное пюре,по вкусу
562,картофельные ньокки,г
563,картофельные хлопья,г
564,картофельные чипсы,г
565,картофельный крахмал,г
566,картофельный отвар,г
567,картофельный хэш замороженный,г
568,картофель печеный,г
569,катык,г
570,каффир-лайм листья,по вкусу
571,каша,г
572,каша для детского питания,г
573,каштановая мука,г
574,каштановый крем,г
575,каштаны,г
576,каштаны вареные,г
577,каштаны консервированные,г
578,каштаны очищенные,г
579,квас,г
580,квасное сусло,г
581,квасной концентрат сухой,упаковка
582,квас хлебный,г
583,кедровая мука,г
584,кедровые орехи,г
585,кедровые орехи жареные,г
586,кета,г
587,кетчуп острый,по вкусу
588,кетчуп томатный,г
589,кетчуп тосканский,ст. л.
590,кетчуп шашлычный,г
591,кефаль,г
592,кефир,по вкусу
593,кефир 1%,г
594,"кефир 2,5%",г
595,"кефир 3,2%",г
596,кефир обезжиренный,г
597,кешью,г
598,кивано,г
599,киви,кг
600,киви желе,г
601,кижуч,г
602,кижуч горячего копчения филе,г
603,кизил,г
604,килька,г
605,кимчи,г
606,кинза свежая,зубчик
607,кинза сушеная,г
608,киноа,г
609,киноа молотая,г
610,кипяток,г
611,кирш,ст. л.
612,кисель,г
613,кисель сухой,г
614,кисломолочный напиток Тан,мл
615,кишки,г
616,клейковина,г
617,клементины,г
618,кленовый сироп,г
619,клубника,г
620,клубника в сиропе,г
621,клубника замороженная,г
622,"клубника, протертая с сахаром",г
623,клубника сушеная,г
624,клубничное варенье,г
625,клубничное желе,упаковка
626,клубничное пюре,г
627,клубничный джем,г
628,клубничный джем густой,мл
629,клубничный компот,стакан
630,клубничный ликер,г
631,клубничный сироп,г
632,клюква,г
633,клюква вяленая,г
634,клюква замороженная,г
635,"клюква, протертая с сахаром",г
636,клюквенное варенье,г
637,клюквенный джем,г
638,клюквенный морс,ст. л.
639,клюквенный сироп,г
640,клюквенный соус,г
641,козлиная печень,г
642,козлятина молодая,кг
643,кока-кола,ст. л.
644,кокосовая вода,стакан
645,кокосовая мука,ст. л.
646,кокосовая стружка,г
647,кокосовая стружка цветная,г
648,кокосовое масло,мл
649,кокосовое молоко,г
650,кокосовые сливки,г
651,кокосовый ликер,ст. л.
652,кокосовый экстракт,г
653,кокосы,г
654,кола,г
655,колбаса,г
656,колбаса вареная,г
657,колбаса варено-копченая,г
658,колбаса копченая,г
659,колбаса кровяная,г
660,колбаса полукопченая,г
661,колбаса сырокопченая,г
662,колбаска свиная свежая (salsiccia),шт.
663,колбаски,г
664,колбаски для жарки,г
665,колбаски домашние,шт.
666,колбаски охотничьи,г
667,колбаски сырокопченые,шт.
668,компот,г
669,конопляное масло,ст. л.
670,конопля семена,г
671,конфеты,по вкусу
672,конфеты M&M’s,г
673,конфеты жевательные лакричные,г
674,конфеты Коровка,г
675,конфеты Трюфель,г
676,конфитюр,по вкусу
677,конфитюрка,упаковка
678,коньяк,г
679,копчености,г
680,коренья,по вкусу
681,кориандр,г
682,кориандр зелень,г
683,кориандр молотый,г
684,кориандр семена,г
685,коринка,ст. л.
686,корица,г
687,корица молотая,г
688,корнишоны,г
689,корнишоны маринованые,г
690,корюшка,г
691,корюшка горячего копчения,г
692,кости,г
693,кости мозговые,г
694,кость сахарная,г
695,кофе в зернах,стакан
696,кофе зеленый,г
697,кофейные зерна в шоколаде,г
698,кофейный ликер,г
699,кофейный ликер Kahlua,мл
700,кофейный напиток,мл
701,кофейный сироп,г
702,кофейный экстракт,мл
703,кофе молотый,ст. л.
704,кофе растворимый,г
705,кофе свежесваренный,г
706,кофе черный,г
707,кофе эспрессо,стакан
708,крабовое мясо,г
709,крабовые палочки,по вкусу
710,краб снежный,по вкусу
711,крабы,г
712,крапива,г
713,краситель-гель пищевой,шт.
714,краситель пищевой,г
715,краситель пищевой вишневый,щепотка
716,краситель пищевой желтый,г
717,краситель пищевой зеленый,ст. л.
718,краситель пищевой красный,г
719,краситель пищевой оранжевый,г
720,краситель пищевой фиолетовый,г
721,краситель пищевой черный,г
722,красная смородина,г
723,"красная смородина, протертая с сахаром",ст. л.
724,красноперка,шт.
725,красносмородиновое варенье,г
726,красный винный соус,г
727,крахмал,г
728,креветки,г
729,креветки замороженные,г
730,креветки королевские,г
731,креветки очищенные,г
732,креветки очищенные в рассоле,г
733,креветки салатные,г
734,креветки сушеные,г
735,креветки тигровые,г
736,крекер,г
737,крекер соленый,г
738,крем заварной,г
739,крем заварной порошковый,г
740,крем-фреш,г
741,кресс-салат,г
742,кровь,мл
743,кролик,г
744,кролик тушка,г
745,кролик филе,г
746,кроличья печень,г
747,круассаны,по вкусу
748,крутоны мелкие,г
749,крыжовник,г
750,крыжовниковое варенье,банка
751,кукуруза,г
752,кукуруза замороженная,г
753,кукуруза консервированная,г
754,кукуруза обжаренная кикос,г
755,кукурузная крупа,г
756,кукурузная мука,г
757,кукурузное масло,г
758,кукурузные лепешки,шт.
759,кукурузные палочки,г
760,кукурузные хлопья,г
761,кукурузные хлопья глазированные,г
762,кукурузные чипсы,г
763,кукурузный (золотой) сироп,г
764,кукурузный крахмал,по вкусу
765,кумин,г
766,кумкваты,горсть
767,кунжут,г
768,кунжутная мука,г
769,кунжутная паста,г
770,кунжутное масло,г
771,кунжутные семечки,по вкусу
772,кунжут черный,ч. л.
773,купаты,шт.
774,курага,по вкусу
775,курдючное сало,г
776,курдючный жир,г
777,куриная ветчина,г
778,куриная кожа,г
779,куриная печень,г
780,куриное карпаччо,г
781,куриное филе,г
782,куриные бедра,г
783,куриные голени,г
784,куриные голени копченые,шт.
785,куриные грудки,г
786,куриные грудки вареные,г
787,куриные грудки копченые,г
788,куриные желудочки,шт.
789,куриные кости,г
790,куриные крылья,г
791,куриные окорочка,г
792,куриные окорочка копченые,г
793,куриные потрошки,г
794,куриные сердечки,г
795,куриный бульон,г
796,куриный паштет,г
797,куриный суповой набор,кг
798,куриный фарш,г
799,курица,г
800,курица вареная,г
801,курица для жарки,кг
802,курица копченая,г
803,курица тушка,г
804,куркума,г
805,куропатки,г
806,кускус,г
807,кускус жемчужный,стакан
808,кэроб,г
809,лаванда,г
810,лаванда сушеная,щепотка
811,лавандовый краситель,ч. л.
812,лаваш,по вкусу
813,лаваш армянский,г
814,лаваш персидский круглый,г
815,лаваш тонкий,пласт
816,лавровые листья свежие,шт.
817,лавровый лист,г
818,лайм,г
819,лайм листья,шт.
820,лаймовая цедра,г
821,лаймовый сок,г
822,лангустины,шт.
823,лапша,г
824,лапша для лагмана,упаковка
825,лапша ширатаки,г
826,лапша яичная в гнездах,шт.
827,латук,г
828,легкие,г
829,лед,г
830,леди-фиш тушка,шт.
831,лемонграсс (лимонное сорго),г
832,лен семена,г
833,лепешки,г
834,лепешки арабские,шт.
835,лесные орехи,г
836,лечо,г
837,ливер,г
838,ликер,г
839,ликер Alchermes,г
840,ликер Amaretto,г
841,ликер Baileys,г
842,ликер Cointreau,г
843,ликер кремовый,г
844,ликер сливочный,г
845,лимонад,г
846,лимонная кислота,г
847,лимонная цедра,г
848,лимонник стебель,г
849,лимонник ягоды,г
850,лимонные корочки засахаренные,г
851,лимонные цукаты,г
852,лимонный сок,г
853,лимонный уксус,г
854,лимонный экстракт,г
855,лимончелло,г
856,лимоны,г
857,лимоны сушеные,
858,лингвине,шт.
859,лисички,г
860,лисички сушеные,г
861,личи,шт.
862,личи компот,г
863,лобстер,г
864,лонган,г
865,лонгконг,шт.
866,лососевые молоки,г
867,лососевый фарш,г
868,лосось,г
869,лосось горячего копчения,г
870,лосось копченый,г
871,лосось свежесоленый,г
872,лосось свежий,г
873,лосось свежий филе,г
874,лосось слабосоленый,г
875,лосось стейки,г
876,лосось филе,г
877,лосось филе на коже,г
878,лосось холодного копчения,г
879,лосятина,кг
880,лук белый,по вкусу
881,лук зеленый,г
882,лук красный,по вкусу
883,лук маринованный,г
884,луковая шелуха,г
885,луковый порошок,г
886,лук-порей,горсть
887,лук-резанец,по вкусу
888,лук репчатый,г
889,лук репчатый мелкий,г
890,лук салатный,шт.
891,лук сушеный,г
892,лук-шалот,г
893,лук-шалот красный,шт.
894,льняная мука,г
895,льняное масло,ч. л.
896,льняное семя,г
897,льняное семя молотое,г
898,любисток,г
899,маасдам,г
900,мадера,г
901,майонез,г
902,майонез домашний,г
903,майонез легкий,г
904,майонезный соус «Слобода» Постный,г
905,майонез оливковый,г
906,майонез «Слобода» Легкий,г
907,майонез «Слобода» На перепелиных яйцах,г
908,майонез «Слобода» Оливковый,г
909,майонез «Слобода» Провансаль,г
910,майонез «Слобода» С лимонным соком,г
911,майонез «Слобода» Сметанный,г
912,майоран,г
913,майоран свежий,по вкусу
914,майоран сушеный,г
915,мак,г
916,макаронные изделия,г
917,макаронные изделия мелкие,г
918,макароны,г
919,макароны-бабочки (farfalle),г
920,макароны-бабочки (farfalle) мини,г
921,макароны баветте,г
922,макароны-бантики,г
923,макароны букатини,г
924,макароны джильи,г
925,макароны диталони,г
926,макароны-звездочки,стакан
927,макароны орзо,г
928,макароны-ракушки (conchiglie),г
929,макароны-ракушки (conchiglie rigate),г
930,макароны-ракушки крупные,г
931,макароны рисони,г
932,макароны-рожки (pipe rigate),г
933,макароны-спиральки (fusilli),г
934,макароны-ушки (orecchiette),г
935,маккерончини,г
936,мак молотый,г
937,маковая масса,пачка
938,малина,г
939,малина замороженная,г
940,"малина, протертая с сахаром",стакан
941,малина сушеная,г
942,малиновое варенье,г
943,малиновое желе,г
944,малиновое пюре,г
945,малиновый джем,г
946,малиновый крем,г
947,малиновый сироп,ч. л.
948,малиновый соус,ч. л.
949,малиновый уксус,мл
950,малиновый чай,г
951,манго,по вкусу
952,манговый сироп,мл
953,манго консервированное,г
954,мангольд,г
955,мангустин,шт.
956,мандариновое пюре,г
957,мандариновые цукаты,г
958,мандариновый сок,г
959,мандарины,по вкусу
960,мандарины в собственном соку,г
961,манная крупа,г
962,маракуйя,г
963,маргарин,г
964,маргарин сливочный,г
965,мармелад,по вкусу
966,мармелад бутербродный,г
967,марсала,стакан
968,мартини,г
969,мартини красный,г
970,марципан,по вкусу
971,марципан зеленый,г
972,марципан розовый,г
973,маршмеллоу,г
974,маршмеллоу крем,г
975,маршмеллоу мини,г
976,маскарпоне,г
977,маслины,г
978,маслины без косточек,г
979,масло авокадо,г
980,масло виноградных косточек,г
981,масло грецкого ореха,ч. л.
982,масло для фритюра,г
983,масло кедрового ореха,г
984,маслята,г
985,мастика,г
986,мастика желатиновая,г
987,мастика шоколадная,г
988,матча,г
989,мафальдине,г
990,маца,г
991,мацони,г
992,маш,г
993,мед,г
994,мед акации,г
995,мед гречишный,г
996,мед жидкий,г
997,мед лавандовый,г
998,мелисса,г
999,меренги,шт.
1000,мидии,г
1001,мидии в раковинах,г
1002,мидии в раковинах крупные черные,г
1003,мидии в раковинах мелкие зеленые,г
1004,мидии замороженные,шт.
1005,мидии копченые в масле,г
1006,микрозелень,горсть
1007,миндаль,г
1008,миндаль жареный,г
1009,миндаль измельченный,г
1010,миндальная масса,г
1011,миндальная мука,г
1012,миндальная паста,г
1013,миндальная эссенция,г
1014,миндальное масло,г
1015,миндальное молоко,г
1016,миндальное печенье,г
1017,миндальное пралине,г
1018,миндальные лепестки,г
1019,миндальный ликер,г
1020,миндальный сироп,г
1021,миндальный экстракт,капля
1022,миндаль очищенный,г
1023,миндаль рубленый,г
1024,мини-кукуруза,шт.
1025,минога,г
1026,минтай,г
1027,минтай печень,г
1028,минтай филе,г
1029,мисо-паста,г
1030,мисо-суп,пакет
1031,можжевельник ягоды,г
1032,мойва,г
1033,моллюски,г
1034,молоко,г
1035,"молоко 0,5%",г
1036,"молоко 1,5%",г
1037,"молоко 2,5%",г
1038,"молоко 3,2%",г
1039,"молоко 3,6%",г
1040,молоко 4%,г
1041,молоко 6%,г
1042,молоко козье,г
1043,молоко концентрированное,г
1044,молоко рисовое,мл
1045,молоко сгущенное,г
1046,молоко сгущенное вареное,ст. л.
1047,молоко сгущенное с какао,г
1048,молоко сухое,г
1049,молоко сухое обезжиренное,ст. л.
1050,молоко топленое,г
1051,молочная смесь,г
1052,молочные продукты,г
1053,морепродукты,шт.
1054,морковное пюре,г
1055,морковь,г
1056,морковь вареная,г
1057,морковь крупная,г
1058,морковь молодая,г
1059,морковь по-корейски,г
1060,морковь тертая,шт.
1061,мороженое,по вкусу
1062,мороженое ванильное,г
1063,мороженое клубничное,г
1064,мороженое лимонное,по вкусу
1065,мороженое малиновое,г
1066,мороженое пломбир,г
1067,мороженое шоколадное,мл
1068,морошка,г
1069,морские гребешки,кг
1070,морской коктейль,г
1071,морской коктейль в масле,упаковка
1072,морской коктейль замороженный,г
1073,морской черт,г
1074,морской язык,г
1075,морской язык филе,г
1076,мортаделла,г
1077,моцарелла,г
1078,моцарелла для запекания,г
1079,моцарелла для пиццы,г
1080,моцарелла мини,г
1081,моцарелла с травами,г
1082,моцарелла шарик большой,г
1083,мука,г
1084,мука 1 сорт,г
1085,мука 2 сорт,г
1086,мука «Аладушкин»,г
1087,мука грубого помола,г
1088,мука для темпуры,г
1089,мука из пророщенной пшеницы,ст. л.
1090,мука манитоба,г
1091,мука самоподнимающаяся,г
1092,мука с отрубями,ч. л.
1093,мука с семечками,г
1094,мука хлебопекарная,г
1095,мука цельнозерновая,г
1096,мускат белый,мл
1097,мускатное вино,г
1098,мускатный орех,г
1099,мускатный орех молотый,г
1100,мюсли,г
1101,мягкий творог,г
1102,мясной бульон,г
1103,мясной фарш,г
1104,мясо,г
1105,мясо дикого кабана,г
1106,мясо криля,г
1107,мясо на косточке,кг
1108,мята,г
1109,мята сушеная,г
1110,мятный сироп,г
1111,мятный шнапс,г
1112,нардек,г
1113,нектарины,шт.
1114,нога ягненка без кости,г
1115,нори,г
1116,нуга,г
1117,нуга с орехами,г
1118,нут,г
1119,нутелла,г
1120,нут консервированный,г
1121,нутовая мука,г
1122,облепиха,г
1123,облепиха замороженная,г
1124,облепиховый сироп,стакан
1125,овощи,г
1126,овощная смесь,г
1127,овощная смесь замороженная,г
1128,овощная смесь замороженная для wok,г
1129,овощная смесь по-китайски,г
1130,овощной бульон,по вкусу
1131,овсяная мука,г
1132,овсяное молоко,стакан
1133,овсяное печенье,г
1134,овсяное толокно,г
1135,овсяные зерна,г
1136,овсяные отруби,г
1137,овсяные хлопья,г
1138,овсяные хлопья быстрого приготовления,г
1139,огуречный рассол,стакан
1140,огурцы,г
1141,огурцы консервированные,шт.
1142,огурцы малосольные,шт.
1143,огурцы маринованные,банка
